python_version mutmut_version
3.9 2.0.0
3.9 2.1.0
3.9 2.2.0
3.9 2.4.0
3.9 2.4.1
3.9 2.4.2
3.9 2.4.3
3.9 2.4.4
3.9 2.4.5
3.9 2.5.0
3.9 2.5.1
3.9 3.0.0
3.9 3.0.1
3.9 3.0.2
3.9 3.0.3
3.9 3.0.4
3.9 3.0.5
3.9 3.1.0
3.9 3.2.0
3.9 3.2.1
3.9 3.2.2
3.10 2.0.0
3.10 2.1.0
3.10 2.2.0
3.10 2.4.0
3.10 2.4.1
3.10 2.4.2
3.10 2.4.3
3.10 2.4.4
3.10 2.4.5
3.10 2.5.0
3.10 2.5.1
3.10 3.0.0
3.10 3.0.1
3.10 3.0.2
3.10 3.0.3
3.10 3.0.4
3.10 3.0.5
3.10 3.1.0
3.10 3.2.0
3.10 3.2.1
3.10 3.2.2
3.11 2.0.0
3.11 2.1.0
3.11 2.2.0
3.11 2.4.0
3.11 2.4.1
3.11 2.4.2
3.11 2.4.3
3.11 2.4.4
3.11 2.4.5
3.11 2.5.0
3.11 2.5.1
3.11 3.0.0
3.11 3.0.1
3.11 3.0.2
3.11 3.0.3
3.11 3.0.4
3.11 3.0.5
3.11 3.1.0
3.11 3.2.0
3.11 3.2.1
3.11 3.2.2
3.12 2.0.0
3.12 2.1.0
3.12 2.2.0
3.12 2.4.0
3.12 2.4.1
3.12 2.4.2
3.12 2.4.3
3.12 2.4.4
3.12 2.4.5
3.12 2.5.0
3.12 2.5.1
3.12 3.0.0
3.12 3.0.1
3.12 3.0.2
3.12 3.0.3
3.12 3.0.4
3.12 3.0.5
3.12 3.1.0
3.12 3.2.0
3.12 3.2.1
3.12 3.2.2
3.13 2.0.0
3.13 2.1.0
3.13 2.2.0
3.13 2.4.0
3.13 2.4.1
3.13 2.4.2
3.13 2.4.3
3.13 2.4.4
3.13 2.4.5
3.13 2.5.0
3.13 2.5.1
3.13 3.0.0
3.13 3.0.1
3.13 3.0.2
3.13 3.0.3
3.13 3.0.4
3.13 3.0.5
3.13 3.1.0
3.13 3.2.0
3.13 3.2.1
3.13 3.2.2
